a	ˈeɪ
cuisine	kwᵻzˈiːn
cultural	kˈʌltʃɚɹəl
culture	kˈʌltʃɚ
cultures	kˈʌltʃɚz
cum	kˈʌm
cumshot	kˈʌmʃɑːt
cumshots	kˈʌmʃɑːts
cup	kˈʌp
cups	kˈʌps
cure	kjˈʊɹ
curious	kjˈʊɹɹiəs
currency	kˈɜːɹənsi
current	kˈɜːɹənt
currently	kˈɜːɹəntli
curriculum	kɜːɹˈɪkjʊləm
curve	kˈɜːv
custody	kˈʌstədi
custom	kˈʌstəm
customer	kˈʌstəmɚ
customers	kˈʌstəmɚz
customize	kˈʌstəmˌaɪz
customized	kˈʌstəmˌaɪzd
customs	kˈʌstəmz
cut	kˈʌt
cute	kjˈuːt
cuts	kˈʌts
cutting	kˈʌɾɪŋ
cv	sˌiːvˈiː
cvs	sˌiːvˌiːˈɛs
cyber	sˈaɪbɚ
cycle	sˈaɪkəl
cycles	sˈaɪkəlz
cycling	sˈaɪklɪŋ
cyprus	sˈaɪpɹəs
czech	tʃˈɛk
d	dˈiː
da	dˈɑː
dad	dˈæd
daddy	dˈædi
daily	dˈeɪli
dairy	dˈɛɹi
dakota	dɐkˈoʊɾə
dale	dˈeɪl
dallas	dˈæləs
dam	dˈæm
damage	dˈæmɪdʒ
damaged	dˈæmɪdʒd
damages	dˈæmɪdʒᵻz
damn	dˈæm
dan	dˈæn
dance	dˈæns
dancing	dˈænsɪŋ
danger	dˈeɪndʒɚ
dangerous	dˈeɪndʒɚɹəs
daniel	dˈænjəl
danish	dˈeɪnɪʃ
danny	dˈæni
dark	dˈɑːɹk
darkness	dˈɑːɹknəs
darwin	dˈɑːɹwɪn
das	dˈæs
data	dˈeɪɾə
database	dˈeɪɾəbˌeɪs
databases	dˈeɪɾəbˌeɪsᵻz
date	dˈeɪt
dated	dˈeɪɾᵻd
dates	dˈeɪts
dating	dˈeɪɾɪŋ
daughter	dˈɔːɾɚ
dave	dˈeɪv
david	dˈeɪvɪd
davidson	dˈeɪvɪdsən
davis	dˈeɪvɪs
dawn	dˈɔːn
day	dˈeɪ
days	dˈeɪz
dayton	dˈeɪtən
db	dˌiːbˈiː
dc	dˌiːsˈiː
dd	dˌiːdˈiː
ddr	dˌiːdˌiːˈɑːɹ
de	də
dead	dˈɛd
deadline	dˈɛdlaɪn
deal	dˈiːl
dealer	dˈiːlɚ
dealers	dˈiːlɚz
dealing	dˈiːlɪŋ
deals	dˈiːlz
dealtime	dˈɛltaɪm
dean	dˈiːn
dear	dˈɪɹ
death	dˈɛθ
deaths	dˈɛθs
debate	dᵻbˈeɪt
debian	dˈɛbiən
debt	dˈɛt
debug	dˈiːbˌʌɡ
debut	deɪbjˈuː
dec	dˈɛk
decade	dˈɛkeɪd
decades	dˈɛkeɪdz
december	dᵻsˈɛmbɚ
decent	dˈiːsənt
decide	dᵻsˈaɪd
decided	dᵻsˈaɪdᵻd
decision	dᵻsˈɪʒən
decisions	dᵻsˈɪʒənz
deck	dˈɛk
declaration	dˌɛklɚɹˈeɪʃən
declared	dᵻklˈɛɹd
decline	dᵻklˈaɪn
decor	deɪkˈɔːɹ
decorating	dˈɛkɚɹˌeɪɾɪŋ
decorative	dˈɛkɹətˌɪv
decrease	dˈiːkɹiːs
decreased	dˈiːkɹiːst
dedicated	dˈɛdᵻkˌeɪɾᵻd
deemed	dˈiːmd
deep	dˈiːp
deeply	dˈiːpli
deer	dˈɪɹ
def	dˈɛf
default	dᵻfˈɔlt
defects	dˈiːfɛkts
defence	dᵻfˈɛns
defend	dᵻfˈɛnd
defendant	dᵻfˈɛndənt
defense	dᵻfˈɛns
define	dᵻfˈaɪn
defined	dᵻfˈaɪnd
defines	dᵻfˈaɪnz
defining	dᵻfˈaɪnɪŋ
definitely	dˈɛfɪnətli
definition	dˌɛfɪnˈɪʃən
definitions	dˌɛfɪnˈɪʃənz
degree	dᵻɡɹˈiː
degrees	dᵻɡɹˈiːz
del	dˈɛl
delaware	dˈɛlɐwˌɛɹ
delay	dᵻlˈeɪ
delayed	dᵻlˈeɪd
delays	dᵻlˈeɪz
delete	dᵻlˈiːt
deleted	dᵻlˈiːɾᵻd
delhi	dˈɛli
delicious	dᵻlˈɪʃəs
deliver	dᵻlˈɪvɚ
delivered	dᵻlˈɪvɚd
delivering	dᵻlˈɪvɚɹɪŋ
delivers	dᵻlˈɪvɚz
delivery	dᵻlˈɪvɚɹi
dell	dˈɛl
delta	dˈɛltə
deluxe	dᵻlˈʌks
demand	dᵻmˈænd
demands	dᵻmˈændz
demo	dˈɛmoʊ
democracy	dᵻmˈɑːkɹəsi
democratic	dˌɛməkɹˈæɾɪk
democrats	dˈɛməkɹˌæts
demonstrate	dˈɛmənstɹˌeɪt
demonstrated	dˈɛmənstɹˌeɪɾᵻd
demonstration	dˌɛmənstɹˈeɪʃən
den	dˈɛn
denied	dᵻnˈaɪd
denmark	dˈɛnmɑːɹk
dennis	dˈɛnɪs
density	dˈɛnsᵻɾi
dental	dˈɛntəl
denver	dˈɛnvɚ
deny	dᵻnˈaɪ
department	dᵻpˈɑːɹtmənt
departments	dᵻpˈɑːɹtmənts
departure	dᵻpˈɑːɹtʃɚ
depend	dᵻpˈɛnd
dependent	dᵻpˈɛndənt
depending	dᵻpˈɛndɪŋ
depends	dᵻpˈɛndz
deployment	dᵻplˈɔɪmənt
deposit	dᵻpˈɑːzɪt
deposits	dᵻpˈɑːzɪts
depot	dˈiːpoʊ
depression	dᵻpɹˈɛʃən
depth	dˈɛpθ
deputy	dˈɛpjuːɾi
der	dˈɛɹ
derived	dᵻɹˈaɪvd
des	dˈɛs
describe	dᵻskɹˈaɪb
described	dᵻskɹˈaɪbd
describes	dᵻskɹˈaɪbz
describing	dᵻskɹˈaɪbɪŋ
description	dᵻskɹˈɪpʃən
descriptions	dᵻskɹˈɪpʃənz
desert	dˈɛzɚt
design	dɪzˈaɪn
designated	dˈɛzɪɡnˌeɪɾᵻd
designed	dɪzˈaɪnd
designer	dɪzˈaɪnɚ
designers	dɪzˈaɪnɚz
designing	dɪzˈaɪnɪŋ
designs	dɪzˈaɪnz
desire	dɪzˈaɪɚ
desired	dɪzˈaɪɚd
desk	dˈɛsk
desktop	dˈɛsktɑːp
desktops	dˈɛsktɑːps
desperate	dˈɛspɚɹət
despite	dᵻspˈaɪt
destination	dˌɛstɪnˈeɪʃən
destinations	dˌɛstɪnˈeɪʃənz
destroy	dᵻstɹˈɔɪ
destroyed	dᵻstɹˈɔɪd
destruction	dᵻstɹˈʌkʃən
detail	diːtˈeɪl
detailed	diːtˈeɪld
details	diːtˈeɪlz
detect	dɪtˈɛkt
detected	dɪtˈɛktᵻd
detection	dɪtˈɛkʃən
detector	dɪtˈɛktɚ
determination	dɪtˌɜːmᵻnˈeɪʃən
determine	dɪtˈɜːmɪn
determined	dɪtˈɜːmɪnd
determines	dɪtˈɜːmɪnz
determining	dɪtˈɜːmɪnɪŋ
detroit	dɪtɹˈɔɪt
deutsch	dˈɔɪtʃ
dev	dˈɛv
devel	dɪvˈɛl
develop	dɪvˈɛləp
developed	dɪvˈɛləpt
developer	dɪvˈɛləpɚ
developers	dɪvˈɛləpɚz
developing	dɪvˈɛləpɪŋ
development	dɪvˈɛləpmənt
developmental	dɪvˈɛləpmˈɛntəl
developments	dɪvˈɛləpmənts
deviant	dˈiːviənt
device	dɪvˈaɪs
devices	dɪvˈaɪsᵻz
devil	dˈɛvəl
devoted	dɪvˈoʊɾᵻd
di	di
diabetes	dˌaɪəbˈiːɾiːz
diagnosis	dˌaɪəɡnˈoʊsɪs
diagnostic	dˌaɪəɡnˈɑːstɪk
diagram	dˈaɪəɡɹˌæm
dial	dˈaɪəl
dialog	dˈaɪəlɑːɡ
dialogue	dˈaɪəlɑːɡ
diameter	daɪˈæmɪɾɚ
diamond	dˈaɪəmənd
diamonds	dˈaɪəməndz
diane	daɪˈæn
diary	dˈaɪɚɹi
dick	dˈɪk
dicke	dˈɪk
dicks	dˈɪks
dictionary	dˈɪkʃənˌɛɹi
did	dˈɪd
die	dˈaɪ
died	dˈaɪd
diego	dɪˈeɪɡoʊ
dies	dˈaɪz
diesel	dˈiːzəl
diet	dˈaɪət
diff	dˈɪf
differ	dˈɪfɚ
difference	dˈɪfɹəns
differences	dˈɪfɹənsᵻz
different	dˈɪfɹənt
differential	dˌɪfɚɹˈɛnʃəl
difficult	dˈɪfɪkəlt
difficulties	dˈɪfɪkˌʌltiz
difficulty	dˈɪfɪkˌʌlti
dig	dˈɪɡ
digest	daɪdʒˈɛst
digital	dˈɪdʒɪɾəl
dildo	dˈɪldoʊ
dildos	dˈɪldoʊz
dimension	dᵻmˈɛnʃən
dimensional	dᵻmˈɛnʃənəl
dimensions	dᵻmˈɛnʃənz
dining	dˈaɪnɪŋ
dinner	dˈɪnɚ
diploma	dɪplˈoʊmə
dir	dˈaɪɚ
direct	dᵻɹˈɛkt
directed	dᵻɹˈɛktᵻd
direction	dᵻɹˈɛkʃən
directions	dᵻɹˈɛkʃənz
directive	dᵻɹˈɛktɪv
directly	dᵻɹˈɛktli
director	dᵻɹˈɛktɚ
directories	dᵻɹˈɛktɚɹiz
directors	dᵻɹˈɛktɚz
directory	dᵻɹˈɛktɚɹi
dirt	dˈɜːt
dirty	dˈɜːɾi
dis	dˈɪs
disabilities	dˌɪsɐbˈɪləɾiz
disability	dˌɪsɐbˈɪləɾi
disable	dˌɪsˈeɪbəl
disabled	dˌɪsˈeɪbəld
disagree	dˌɪsɐɡɹˈiː
disaster	dɪzˈæstɚ
disc	dˈɪsk
discharge	dɪstʃˈɑːɹdʒ
discipline	dˈɪsɪplˌɪn
disclaimer	dɪsklˈeɪmɚ
disclaimers	dɪsklˈeɪmɚz
disclosure	dɪsklˈoʊʒɚ
disco	dˈɪskoʊ
discount	dˈɪskaʊnt
discounted	dɪskˈaʊntᵻd
discounts	dˈɪskaʊnts
discover	dɪskˈʌvɚ
discovered	dɪskˈʌvɚd
discovery	dɪskˈʌvɚɹi
discretion	dɪskɹˈɛʃən
discrimination	dɪskɹˌɪmᵻnˈeɪʃən
discs	dˈɪsks
discuss	dɪskˈʌs
discussed	dɪskˈʌst
discusses	dɪskˈʌsᵻz
discussion	dɪskˈʌʃən
discussions	dɪskˈʌʃənz
disease	dɪzˈiːz
diseases	dɪzˈiːzᵻz
dish	dˈɪʃ
dishes	dˈɪʃᵻz
disk	dˈɪsk
disney	dˈɪzni
disorder	dɪsˈɔːɹdɚ
disorders	dɪsˈɔːɹdɚz
dispatched	dɪspˈætʃt
display	dɪsplˈeɪ
displayed	dɪsplˈeɪd
displaying	dɪsplˈeɪɪŋ
displays	dɪsplˈeɪz
disposal	dɪspˈoʊzəl
dispute	dɪspjˈuːt
dist	dˈɪst
distance	dˈɪstəns
distinct	dɪstˈɪŋkt
distinguished	dɪstˈɪŋɡwɪʃt
distribute	dˈɪstɹɪbjˌuːt
distributed	dˈɪstɹɪbjˌuːɾᵻd
distribution	dˌɪstɹɪbjˈuːʃən
distributions	dˌɪstɹɪbjˈuːʃənz
distributor	dɪstɹˈɪbjuːɾɚ
distributors	dɪstɹˈɪbjuːɾɚz
district	dˈɪstɹɪkt
districts	dˈɪstɹɪkts
disturbed	dɪstˈɜːbd
div	dˈɪv
dive	dˈaɪv
diverse	daɪvˈɜːs
diversity	daɪvˈɜːsᵻɾi
divided	dᵻvˈaɪdᵻd
divine	dᵻvˈaɪn
diving	dˈaɪvɪŋ
division	dᵻvˈɪʒən
divisions	dᵻvˈɪʒənz
divorce	dᵻvˈɔːɹs
diy	dˌiːˌaɪwˈaɪ
dj	dˌiːdʒˈeɪ
dl	dˌiːˈɛl
dm	dˌiːˈɛm
dna	dˌiːˌɛnˈeɪ
dns	dˌiːˌɛnˈɛs
do	dˈuː
doc	dˈɑːk
docs	dˈɑːks
doctor	dˈɑːktɚ
doctors	dˈɑːktɚz
document	dˈɑːkjuːmənt
documentary	dˌɑːkjuːmˈɛntɚɹi
documentation	dˌɑːkjuːməntˈeɪʃən
documented	dˈɑːkjuːməntᵻd
documents	dˈɑːkjuːmənts
dod	dˈɑːd
dodge	dˈɑːdʒ
doe	dˈoʊ
does	dˈʌz
dog	dˈɑːɡ
dogs	dˈɑːɡz
doing	dˈuːɪŋ
doll	dˈɑːl
dollar	dˈɑːlɚ
dollars	dˈɑːlɚz
dolls	dˈɑːlz
domain	dəmˈeɪn
domains	dəmˈeɪnz
domestic	dəmˈɛstɪk
dominant	dˈɑːmɪnənt
dominican	dəmˈɪnɪkən
don	dˈɑːn
donald	dˈɑːnəld
donate	doʊnˈeɪt
donation	doʊnˈeɪʃən
donations	doʊnˈeɪʃənz
done	dˈʌn
donna	dˈɑːnə
donor	dˈoʊnɚ
dont	dˈoʊnt
door	dˈɔːɹ
doors	dˈɔːɹz
dos	dˈɑːs
dose	dˈoʊs
dot	dˈɑːt
double	dˈʌbəl
doubt	dˈaʊt
doug	dˈʌɡ
douglas	dˈʌɡləz
down	dˈaʊn
download	dˈaʊnloʊd
downloadable	dˈaʊnloʊdəbəl
downloaded	dˈaʊnloʊdᵻd
downloading	dˈaʊnloʊdɪŋ
downloads	dˈaʊnloʊdz
downtown	dˈaʊntaʊn
dozen	dˈʌzən
dp	dˌiːpˈiː
dpi	dˌiːpˌiːˈaɪ
dr	dˈɑːktɚ
draft	dɹˈæft
drag	dɹˈæɡ
dragon	dɹˈæɡən
drama	dɹˈɑːmə
dramatic	dɹəmˈæɾɪk
draw	dɹˈɔː
drawing	dɹˈɔːɪŋ
drawings	dɹˈɔːɪŋz
drawn	dɹˈɔːn
dream	dɹˈiːm
dreams	dɹˈiːmz
dress	dɹˈɛs
dresses	dɹˈɛsᵻz
drew	dɹˈuː
drill	dɹˈɪl
drink	dɹˈɪŋk
drinking	dɹˈɪŋkɪŋ
drinks	dɹˈɪŋks
drive	dɹˈaɪv
driven	dɹˈɪvən
driver	dɹˈaɪvɚ
drivers	dɹˈaɪvɚz
drives	dɹˈaɪvz
driving	dɹˈaɪvɪŋ
drop	dɹˈɑːp
dropped	dɹˈɑːpt
drops	dɹˈɑːps
drug	dɹˈʌɡ
drugs	dɹˈʌɡz
drum	dɹˈʌm
drums	dɹˈʌmz
drunk	dɹˈʌŋk
dry	dɹˈaɪ
ds	dˌiːˈɛs
dsl	dˌiːˌɛsˈɛl
dt	dˌiːtˈiː
du	dˈuː
dual	dˈuːəl
dublin	dˈʌblɪn
duck	dˈʌk
due	dˈuː
duke	dˈuːk
duncan	dˈʌŋkən
durable	dˈʊɹɹəbəl
duration	dʊɹɹˈeɪʃən
durham	dˈʌɹəm
during	dˈʊɹɹɪŋ
dust	dˈʌst
dutch	dˈʌtʃ
duties	dˈuːɾiz
duty	dˈuːɾi
dv	dˌiːvˈiː
dvd	dˌiːvˌiːdˈiː
dvds	dˌiːvˌiːdˌiːˈɛs
dx	dˌiːˈɛks
dying	dˈaɪɪŋ
dynamic	daɪnˈæmɪk
dynamics	daɪnˈæmɪks
e	ˈiː
ea	ˈiː
each	ˈiːtʃ
eagle	ˈiːɡəl
eagles	ˈiːɡəlz
ear	ˈɪɹ
earl	ˈɜːl
earlier	ˈɜːlɪɚ
early	ˈɜːli
earn	ˈɜːn
earned	ˈɜːnd
earnings	ˈɜːnɪŋz
earrings	ˈɪɹɪŋz
ears	ˈɪɹz
earth	ˈɜːθ
ease	ˈiːz
easier	ˈiːziɚ
easily	ˈiːzili
east	ˈiːst
easter	ˈiːstɚ
eastern	ˈiːstɚn
easy	ˈiːzi
eat	ˈiːt
eating	ˈiːɾɪŋ
ebay	ˈiːbeɪ
ebony	ˈɛbəni
ebook	ˈiːbʊk
ebooks	ˈiːbʊks
ec	ˈɛk
echo	ˈɛkoʊ
eclipse	ɪklˈɪps
eco	ˈiːkoʊ
ecological	ˌɛkəlˈɑːdʒɪkəl
ecology	ɛkˈɑːlədʒi
ecommerce	ˈiːkˌɑːmɜːs
economic	ˌiːkənˈɑːmɪk
economics	ˌiːkənˈɑːmɪks
economy	ɪkˈɑːnəmi
ecuador	ˈɛkwɐdˌɔːɹ
ed	ˈɛd
eddie	ˈɛdi
edge	ˈɛdʒ
edges	ˈɛdʒᵻz
edinburgh	ˈɛdɪnbʌɹə
edit	ˈɛdɪt
edited	ˈɛdɪɾᵻd
editing	ˈɛdɪɾɪŋ
edition	ᵻdˈɪʃən
editions	ᵻdˈɪʃənz
editor	ˈɛdɪɾɚ
editorial	ˌɛdɪtˈɔːɹɪəl
editors	ˈɛdɪɾɚz
edt	ˌiːdˌiːtˈiː
education	ˌɛdʒuːkˈeɪʃən
educational	ˌɛdʒuːkˈeɪʃənəl
educators	ˈɛdʒuːkˌeɪɾɚz
edward	ˈɛdwɚd
edwards	ˈɛdwɚdz
ee	ˈiː
ef	ˈɛf
effect	ɪfˈɛkt
effective	ɪfˈɛktɪv
effectively	ɪfˈɛktɪvli
effectiveness	ɪfˈɛktɪvnəs
effects	ɪfˈɛkts
efficiency	ɪfˈɪʃənsi
efficient	ɪfˈɪʃənt
effort	ˈɛfɚt
efforts	ˈɛfɚts
eg	fˌɔːɹɛɡzˈæmpəl
egg	ˈɛɡ
eggs	ˈɛɡz
egypt	ˈiːdʒɪpt
eight	ˈeɪt
either	ˈiːðɚ
ejaculation	ɪdʒˌækjʊlˈeɪʃən
el	ˌɛl
elder	ˈɛldɚ
elderly	ˈɛldɚli
elected	ᵻlˈɛktᵻd
election	ᵻlˈɛkʃən
elections	ᵻlˈɛkʃənz
electric	ᵻlˈɛktɹɪk
electrical	ᵻlˈɛktɹɪkəl
electricity	ᵻlɛktɹˈɪsᵻɾi
electron	ᵻlˈɛktɹɑːn
electronic	ᵻlɛktɹˈɑːnɪk
electronics	ᵻlɛktɹˈɑːnɪks
elegant	ˈɛlɪɡənt
element	ˈɛlɪmənt
elementary	ˌɛlɪmˈɛntɚɹi
elements	ˈɛlɪmənts
eligibility	ˌɛlɪdʒəbˈɪlᵻɾi
eligible	ˈɛlɪdʒəbəl
eliminate	ᵻlˈɪmᵻnˌeɪt
elite	ɪlˈiːt
elizabeth	ᵻlˈɪzəbəθ
ellen	ˈɛlən
ellis	ˈɛlɪs
else	ˈɛls
elsewhere	ˈɛlswɛɹ
elvis	ˈɛlvɪs
em	ˈɛm
email	ˈiːmeɪl
emails	ˈiːmeɪlz
embassy	ˈɛmbəsi
embedded	ɛmbˈɛdᵻd
emergency	ɪmˈɜːdʒənsi
emerging	ɪmˈɜːdʒɪŋ
emily	ˈɛmᵻli
eminem	ˈɛmaɪnəm
emirates	ˈɛmᵻɹˌeɪts
emission	ɪmˈɪʃən
emissions	ɪmˈɪʃənz
emotional	ɪmˈoʊʃənəl
emotions	ɪmˈoʊʃənz
emphasis	ˈɛmfəsɪs
empire	ˈɛmpaɪɚ
employed	ɛmplˈɔɪd
employee	ɛmplˈɔɪiː
employees	ɛmplˈɔɪiːz
employer	ɛmplˈɔɪɚ
employers	ɛmplˈɔɪɚz
employment	ɛmplˈɔɪmənt
empty	ˈɛmpti
en	ˈɛn
enable	ɛnˈeɪbəl
enabled	ɛnˈeɪbəld
enables	ɛnˈeɪbəlz
enabling	ɛnˈeɪblɪŋ
encoding	ɛŋkˈoʊdɪŋ
encounter	ɛŋkˈaʊntɚ
encourage	ɛŋkˈɜːɹɪdʒ
encouraged	ɛŋkˈɜːɹɪdʒd
encouraging	ɛŋkˈɜːɹɪdʒɪŋ
encryption	ɛŋkɹˈɪpʃən
encyclopedia	ɛnsˌaɪkloʊpˈiːdiə
end	ˈɛnd
ended	ˈɛndᵻd
endif	ɛndˈɪf
ending	ˈɛndɪŋ
ends	ˈɛndz
enemy	ˈɛnəmi
energy	ˈɛnɚdʒi
enforcement	ɛnfˈɔːɹsmənt
eng	ˈɛŋ
engage	ɛŋɡˈeɪdʒ
engaged	ɛŋɡˈeɪdʒd
engagement	ɛŋɡˈeɪdʒmənt
engine	ˈɛndʒɪn
engineer	ˌɛndʒɪnˈɪɹ
engineering	ˌɛndʒɪnˈɪɹɪŋ
engineers	ˌɛndʒɪnˈɪɹz
engines	ˈɛndʒɪnz
england	ˈɪŋɡlənd
english	ˈɪŋɡlɪʃ
enhance	ɛnhˈæns
enhanced	ɛnhˈænst
enhancement	ɛnhˈænsmənt
enjoy	ɛndʒˈɔɪ
enjoyed	ɛndʒˈɔɪd
enlarge	ɛnlˈɑːɹdʒ
enlargement	ɛnlˈɑːɹdʒmənt
enough	ɪnˈʌf
enquiries	ɛŋkwˈaɪɚɹiz
enquiry	ɛŋkwˈaɪɚɹi
enrolled	ɛnɹˈoʊld
enrollment	ɛnɹˈoʊlmənt
ensure	ɛnʃˈʊɹ
ensuring	ɛnʃˈʊɹɹɪŋ
ent	ˈɛnt
enter	ˈɛntɚ
entered	ˈɛntɚd
entering	ˈɛntɚɹɪŋ
enterprise	ˈɛntɚpɹˌaɪz
enterprises	ˈɛntɚpɹˌaɪzᵻz
entertainment	ˌɛntɚtˈeɪnmənt
entire	ɛntˈaɪɚ
entirely	ɛntˈaɪɚli
entities	ˈɛntᵻɾiz
entitled	ɛntˈaɪɾəld
entity	ˈɛntᵻɾi
entrance	ˈɛntɹəns
entries	ˈɛntɹiz
entry	ˈɛntɹi
envelope	ˈɑːnvəlˌoʊp
environment	ɛnvˈaɪɹənmənt
environmental	ɛnvˌaɪɹənmˈɛntəl
environments	ɛnvˈaɪɹənmənts
ep	ˈɛp
epa	ˈɛpə
epinions	ɛpˈɪniənz
episode	ˈɛpɪsˌoʊd
episodes	ˈɛpɪsˌoʊdz
epson	ˈɛpsən
eq	ˈɛk
equal	ˈiːkwəl
equality	iːkwˈɔlᵻɾi
equally	ˈiːkwəli
equation	ᵻkwˈeɪʒən
equations	ᵻkwˈeɪʒənz
equipment	ɪkwˈɪpmənt
equipped	ɪkwˈɪpt
equity	ˈɛkwᵻɾi
equivalent	ɪkwˈɪvələnt
er	ˈɜː
era	ˈiəɹə
eric	ˈɛɹɪk
ericsson	ˈɛɹɪksən
erotic	ɪɹˈɑːɾɪk
error	ˈɛɹɚ
errors	ˈɛɹɚz
es	ˈiːz
escape	ɛskˈeɪp
escort	ˈɛskɔːɹt
escorts	ˈɛskɔːɹts
especially	ɪspˈɛʃəli
espn	ˌiːˌɛspˌiːˈɛn
essay	ˈɛseɪ
essays	ˈɛseɪz
essence	ˈɛsəns
essential	ᵻsˈɛnʃəl
essentially	ᵻsˈɛnʃəli
essentials	ᵻsˈɛnʃəlz
essex	ˈɛsɪks
est	ˌiːˌɛstˈiː
establish	ɪstˈæblɪʃ
established	ɪstˈæblɪʃt
establishing	ɪstˈæblɪʃɪŋ
establishment	ɪstˈæblɪʃmənt
estate	ᵻstˈeɪt
estimate	ˈɛstᵻmət
estimated	ˈɛstᵻmˌeɪɾᵻd
estimates	ˈɛstᵻməts
estonia	ɛstˈoʊniə
et	ˈɛt
etc	ɛtsˈɛtɹə
eternal	ɪtˈɜːnəl
ethernet	ˈiːθɚnˌɛt
ethical	ˈɛθɪkəl
ethics	ˈɛθɪks
ethiopia	ˌiːθɪˈoʊpiə
ethnic	ˈɛθnɪk
eu	ˌiːjˈuː
eugene	jˈuːdʒiːn
eur	jˈʊɹ
euro	jˈʊɹɹoʊ
europe	jˈʊɹɹəp
european	jˌʊɹɹəpˈiən
evaluate	ɪvˈæljuːˌeɪt
evaluated	ɪvˈæljuːˌeɪɾᵻd
evaluating	ɪvˈæljuːˌeɪɾɪŋ
evaluation	ɪvˌæljuːˈeɪʃən
evans	ˈɛvənz
eve	ˈiːv
even	ˈiːvən
evening	ˈiːvnɪŋ
event	ᵻvˈɛnt
events	ᵻvˈɛnts
eventually	ᵻvˈɛntʃuːəli
ever	ˈɛvɚ
every	ˈɛvɹi
everybody	ˈɛvɹɪbˌɑːdi
everyday	ˈɛvɹɪdˌeɪ
everyone	ˈɛvɹɪwˌʌn
everything	ˈɛvɹɪθˌɪŋ
everywhere	ˈɛvɹɪwˌɛɹ
evidence	ˈɛvɪdəns
evil	ˈiːvəl
evolution	ˌɛvəlˈuːʃən
ex	ˈɛks
exact	ɛɡzˈækt
exactly	ɛɡzˈæktli
exam	ɛɡzˈæm
examination	ɛɡzˌæmᵻnˈeɪʃən
examine	ɛɡzˈæmɪn
examined	ɛɡzˈæmɪnd
example	ɛɡzˈæmpəl
examples	ɛɡzˈæmpəlz
exams	ɛɡzˈæmz
exceed	ɛksˈiːd
excel	ɛksˈɛl
excellence	ˈɛksələns
excellent	ˈɛksələnt
except	ɛksˈɛpt
exception	ɛksˈɛpʃən
exceptional	ɛksˈɛpʃənəl
exceptions	ɛksˈɛpʃənz
excerpt	ɛksˈɜːpt
excess	ɛksˈɛs
exchange	ɛkstʃˈeɪndʒ
exchanges	ɛkstʃˈeɪndʒᵻz
excited	ɛksˈaɪɾᵻd
exciting	ɛksˈaɪɾɪŋ
exclude	ɛksklˈuːd
excluded	ɛksklˈuːdᵻd
excluding	ɛksklˈuːdɪŋ
exclusive	ɛksklˈuːsɪv
exclusively	ɛksklˈuːsɪvli
execute	ˈɛksᵻkjˌuːt
executed	ˈɛksᵻkjˌuːɾᵻd
execution	ˌɛksɪkjˈuːʃən
executive	ɛɡzˈɛkjuːtˌɪv
executives	ɛɡzˈɛkjuːtˌɪvz
exempt	ɛɡzˈɛmpt
exercise	ˈɛksɚsˌaɪz
exercises	ˈɛksɚsˌaɪzᵻz
exhaust	ɛɡzˈɔːst
exhibit	ɛɡzˈɪbɪt
exhibition	ɛksɪbˈɪʃən
exhibitions	ɛksɪbˈɪʃənz
exhibits	ɛɡzˈɪbɪts
exist	ɛɡzˈɪst
existence	ɛɡzˈɪstəns
existing	ɛɡzˈɪstɪŋ
exists	ɛɡzˈɪsts
exit	ˈɛɡzɪt
exotic	ɛɡzˈɑːɾɪk
exp	ˈɛksp
expand	ɛkspˈænd
expanded	ɛkspˈændᵻd
expanding	ɛkspˈændɪŋ
expansion	ɛkspˈænʃən
expansys	ɛkspˈænziz
expect	ɛkspˈɛkt
expectations	ɛkspɪktˈeɪʃənz
expected	ɛkspˈɛktᵻd
expenditure	ɛkspˈɛndɪtʃɚ
expenditures	ɛkspˈɛndɪtʃɚz
expense	ɛkspˈɛns
expenses	ɛkspˈɛnsᵻz
expensive	ɛkspˈɛnsɪv
experience	ɛkspˈiəɹɪəns
experienced	ɛkspˈiəɹɪənst
experiences	ɛkspˈiəɹɪənsᵻz
experiment	ɛkspˈɛɹɪmənt
experimental	ɛkspˌɛɹɪmˈɛntəl
experiments	ɛkspˈɛɹɪmənts
expert	ˈɛkspɜːt
expertise	ˌɛkspɚtˈiːz
experts	ˈɛkspɜːts
explain	ɛksplˈeɪn
explained	ɛksplˈeɪnd
explains	ɛksplˈeɪnz
explanation	ɛksplɐnˈeɪʃən
explicit	ɛksplˈɪsɪt
exploration	ɛksplɔːɹˈeɪʃən
explore	ɛksplˈɔːɹ
explorer	ɛksplˈɔːɹɚ
exploring	ɛksplˈɔːɹɪŋ
expo	ˈɛkspoʊ
export	ˈɛkspɔːɹt
exports	ˈɛkspɔːɹts
exposed	ɛkspˈoʊzd
exposure	ɛkspˈoʊʒɚ
express	ɛkspɹˈɛs
expressed	ɛkspɹˈɛst
expression	ɛkspɹˈɛʃən
expressions	ɛkspɹˈɛʃənz
ext	ˈɛkst
extend	ɛkstˈɛnd
extended	ɛkstˈɛndᵻd
extends	ɛkstˈɛndz
extension	ɛkstˈɛnʃən
extensions	ɛkstˈɛnʃənz
extensive	ɛkstˈɛnsɪv
extent	ɛkstˈɛnt
exterior	ɛkstˈɪɹiɚ
external	ɛkstˈɜːnəl
extra	ˈɛkstɹə
extract	ˈɛkstɹækt
extraordinary	ɛkstɹˈɔːɹdɪnˌɛɹi
extras	ˈɛkstɹəz
